county,county_fips,annual_avg_2023,annual_avg_2022,annual_avg_2021,annual_avg_2020,annual_avg_2019,annual_avg_2018,annual_avg_2017,annual_avg_2016,annual_avg_2015
Minnesota,27000,2.8,2.7,3.7,6.3,3.3,3.0,3.5,3.9,3.8
Aitkin,27001,4.8,4.3,5.1,8.2,6.2,5.8,6.3,7,6.7
Anoka,27003,2.8,2.5,3.7,6.4,3.1,2.9,3.4,3.7,3.7
Becker,27005,3,2.8,3.6,6.3,4,3.7,4.2,4.6,4.5
Beltrami,27007,3.5,3.1,4,6.4,4.3,4.2,4.9,5.2,5
Benton,27009,3.6,3.3,4.6,6.7,3.9,3.6,4.1,4.4,4.5
Big Stone,27011,3.4,3.1,3.7,4.8,4.2,3.9,4.5,4.8,4.5
Blue Earth,27013,2.3,2.1,3.3,5.4,2.8,2.6,2.9,3.2,3
Brown,27015,2.9,2.6,3.3,5.2,3.7,3.5,3.7,4.2,4.2
Carlton,27017,3.7,3.4,4.3,7.3,4.5,4.2,4.8,5.3,5
Carver,27019,2.4,2.1,3,5.2,2.8,2.5,3,3.3,3.2
Cass,27021,4.4,4,4.8,9.2,5.6,5.3,6,6.8,6.8
Chippewa,27023,2.8,2.3,3.2,5.2,3.9,3.3,4,4.5,4.5
Chisago,27025,3.3,2.9,4,6.7,3.8,3.5,4,4.3,4.3
Clay,27027,2.1,2.1,2.9,4.4,3.1,3,3.2,3.4,3.2
Clearwater,27029,6,6.3,6.4,9.8,8.3,8.3,8.9,9.6,9.3
Cook,27031,3.6,3.3,4.8,8.4,4.3,3.5,3.9,4.6,4.5
Cottonwood,27033,4.6,2.7,3.6,4.8,3.7,3.7,5.3,7.2,4.9
Crow Wing,27035,3.4,3.1,4.3,7.3,4.4,4.1,4.5,5.1,5.3
Dakota,27037,2.6,2.3,3.5,6.3,2.9,2.6,3.1,3.4,3.4
Dodge,27039,2.8,2.5,3.4,5.5,3.4,3.1,3.4,3.7,3.8
Douglas,27041,2.6,2.2,3,4.8,3.2,2.9,3.2,3.5,3.5
Faribault,27043,3.1,3,4,6.2,4.2,3.6,4.2,4.4,4.5
Fillmore,27045,2.8,2.5,3.2,5.1,3.4,3.2,3.5,4,4.2
Freeborn,27047,2.7,2.5,3.7,5.7,3.5,3.3,3.7,3.8,3.9
Goodhue,27049,2.6,2.5,3.5,5.9,3.1,2.8,3.3,3.7,3.6
Grant,27051,3.2,2.8,3.9,5.4,4.5,4.1,4.1,4.7,4.8
Hennepin,27053,2.6,2.4,3.8,6.6,2.8,2.6,3.1,3.3,3.4
Houston,27055,2.5,2.2,3,4.4,3.2,3,3.5,3.9,3.9
Hubbard,27057,4.3,4,4.3,7.1,5.4,5.1,5.7,6.5,6.3
Isanti,27059,3.8,3.2,4.4,6.8,4.1,3.8,4.4,4.7,4.4
Itasca,27061,4.6,4.3,5,8.6,6,5.6,7,8.5,6.6
Jackson,27063,2.9,2.4,3.4,5.3,3.5,3,3.7,4.5,4.1
Kanabec,27065,5,4.5,5.6,8.2,5.9,5.6,6.1,6.5,6.7
Kandiyohi,27067,2.9,2.7,3.8,4.9,3.6,3,3.3,3.8,3.8
Kittson,27069,3,2.7,3.1,4.7,3.7,3,3.7,4.6,4.7
Koochiching,27071,4.3,3.8,4.7,7.5,6.4,6.3,7.2,8.5,8.3
Lac qui Parle,27073,2.8,2.6,3.1,4.8,3.8,3.7,3.5,4.3,4.2
Lake,27075,3.9,4.7,3.8,7.3,3.7,3.2,3.9,6.4,4.9
Lake of the Woods,27077,3.5,3.1,3.9,6.2,4.2,3.9,4.7,4.8,4.6
Le Sueur,27079,3.9,3.4,4.5,6.9,4.5,4.2,4.7,4.9,4.9
Lincoln,27081,3,2.7,3.7,4.5,3.8,3.1,3.2,3.6,3.6
Lyon,27083,2.5,2.4,2.9,4.5,3.2,2.9,3.2,3.6,3.3
Mahnomen,27087,4.7,4.7,6.5,13.2,4.8,4.7,5.1,5.8,5.9
Marshall,27089,4.2,3.8,4.4,6.6,5.9,6,7,7.3,7
Martin,27091,2.8,2.6,3.5,5.4,3.8,3.2,3.5,4.1,4.2
McLeod,27085,3.2,2.7,3.7,5.8,3.7,3.2,3.8,4.4,4
Meeker,27093,3.1,2.8,3.6,5.3,3.9,3.6,4.1,4.5,4.3
Mille Lacs,27095,5.1,4.3,5.6,8.6,5.5,5,5.6,6,5.9
Morrison,27097,4.4,4.2,4.7,6.8,5.2,4.8,5.4,5.6,5.5
Mower,27099,2.6,2.4,3.4,5.1,3.1,2.8,2.8,3.2,3.3
Murray,27101,3.9,3.2,4,5.1,4.3,3.8,4.4,4.7,4.5
Nicollet,27103,2.2,1.9,3,4.9,2.6,2.3,2.6,2.8,2.7
Nobles,27105,2.7,2.1,3.1,4.3,3,2.7,3.2,3.8,3.3
Norman,27107,3.5,3.4,4.2,6.4,4.9,4.4,4.7,4.8,4.8
Olmsted,27109,2.1,2.1,3.1,5.5,2.6,2.4,2.7,3,3
Otter Tail,27111,3.3,2.9,3.6,5.5,4.2,3.7,4,4.4,4.3
Pennington,27113,3.3,3.2,3.9,6.2,4.6,4.3,5.7,5.8,5.2
Pine,27115,4.9,4.2,5.4,8.7,5.6,5,5.8,5.8,5.7
Pipestone,27117,2.8,2.4,3.1,4.1,3.5,3,3.4,3.8,3.4
Polk,27119,2.9,2.8,4.1,5.7,4,3.8,4.2,4.3,4.3
Pope,27121,2.8,2.3,3.1,4.5,3.2,2.7,3.1,3.6,3.5
Ramsey,27123,2.7,2.6,4.2,7,3,2.8,3.3,3.6,3.6
Red Lake,27125,3.9,3.7,4.2,6.5,5.3,5.3,6.7,7.3,6
Redwood,27127,2.9,2.5,3.6,5.6,3.7,3.7,4.1,4.1,4
Renville,27129,3.7,3.4,4.2,5.8,4.6,4.1,4.5,5.3,4.9
Rice,27131,2.6,2.5,3.5,5.4,3.1,2.9,3.2,3.5,3.6
Rock,27133,1.8,1.6,2,3.1,2.3,2.4,2.1,2.3,2.2
Roseau,27135,2.8,2.4,3.2,5.8,3.9,3.5,4.9,5.1,4.1
Saint Louis,27137,3.2,3.1,4.1,7.3,4.1,3.8,4.7,5.7,5.1
Scott,27139,2.5,2.2,3.3,5.9,2.8,2.6,2.9,3.2,3.2
Sherburne,27141,3.2,2.8,3.8,6.2,3.5,3.2,3.8,4.1,4.1
Sibley,27143,3.3,3.1,4,5.7,3.9,3.3,3.6,4.3,4.2
Stearns,27145,2.8,2.6,3.9,5.8,3.2,3,3.4,3.8,3.7
Steele,27147,3,2.7,3.5,5.5,3.2,3.1,3.4,3.6,3.4
Stevens,27149,2.4,2.1,2.5,3.3,2.7,2.4,2.7,3,2.9
Swift,27151,3.1,2.9,3.9,5.9,4.4,3.7,4.1,5.4,6.2
Todd,27153,3.6,3.1,4,5.4,4.5,4,4,4.7,4.5
Traverse,27155,3,2.4,3.2,4.5,3.7,3.3,3.6,3.9,4.2
Wabasha,27157,2.7,2.5,3.3,5.4,3.4,3.1,3.4,3.7,3.9
Wadena,27159,4.7,4,4.7,7.8,6.3,5.4,5.6,5.9,6
Waseca,27161,3.9,3.3,4.2,6.3,3.9,4.2,3.9,4.3,4.2
Washington,27163,2.4,2.2,3.2,5.7,2.9,2.6,3,3.3,3.2
Watonwan,27165,2.9,2.4,3.2,4.7,4.1,3.6,4.4,4.9,4.8
Wilkin,27167,2.5,2.1,3,4.2,3.4,3.1,3.1,3.3,3.4
Winona,27169,2.3,2.1,3.1,5,2.9,2.7,3.1,3.5,3.4
Wright,27171,2.9,2.5,3.4,5.6,3.3,3.1,3.6,3.9,3.8
Yellow Medicine,27173,3,2.7,3.1,4.6,3.8,3.1,3.5,3.8,3.8
